con,vol,dis,feed,OD
9,12,12,0.25,235
11,16,10,0.25,412
11,14,12,0.25,374
11,14,12,0.25,389
11,14,12,0.25,362
9,16,12,0.25,201
11,12,14,0.25,359
9,14,14,0.25,214
9,14,10,0.25,219
13,12,12,0.25,457
13,14,14,0.25,516
13,16,12,0.25,534
11,12,10,0.25,365
11,16,14,0.25,429
11,14,12,0.25,381
13,14,10,0.25,502
11,14,12,0.25,386
