con,vol,dis,feed,OD
6,10,14,1.7,175
6,10,20,1.7,192
6,10,14,2.3,217
6,10,20,2.3,213
6,15,17,2,194
6,20,14,1.7,174
6,20,20,1.7,201
6,20,14,2.3,218
6,20,20,2.3,245
8,10,17,2,259
8,15,17,1.7,313
8,15,14,2,296
8,15,17,2,295
8,15,17,2,273
8,15,20,2,294
8,15,17,2.3,303
8,20,17,2,272
10,10,14,1.7,330
10,10,20,1.7,365
10,10,14,2.3,378
10,10,20,2.3,414
10,15,17,2,414
10,20,14,1.7,298
10,20,20,1.7,359
10,20,14,2.3,347
