,loss,mape,mse,val_loss,val_mape,val_mse
62,0.040300242602825165,15.367462158203125,0.040300242602825165,0.09436679631471634,34.58035659790039,0.09436679631471634
63,0.040104810148477554,15.302048683166504,0.040104810148477554,0.09292712807655334,34.26952362060547,0.09292712807655334
64,0.03991331905126572,15.232860565185547,0.03991331905126572,0.0915410965681076,33.966941833496094,0.0915410965681076
65,0.039727017283439636,15.164179801940918,0.039727017283439636,0.09028646349906921,33.693363189697266,0.09028646349906921
66,0.0395444817841053,15.099958419799805,0.0395444817841053,0.08919349312782288,33.449928283691406,0.08919349312782288
67,0.03934808820486069,15.024653434753418,0.03934808820486069,0.08822885155677795,33.236053466796875,0.08822885155677795
68,0.03914686664938927,14.94979476928711,0.03914686664938927,0.08744112402200699,33.066078186035156,0.08744112402200699
69,0.03894010931253433,14.883169174194336,0.03894010931253433,0.0868559181690216,32.947853088378906,0.0868559181690216
70,0.038750920444726944,14.83224868774414,0.038750920444726944,0.08661679923534393,32.92228698730469,0.08661679923534393
71,0.038548484444618225,14.801508903503418,0.038548484444618225,0.08665578067302704,32.970458984375,0.08665578067302704
72,0.03833340108394623,14.785902976989746,0.03833340108394623,0.08695144206285477,33.08682632446289,0.08695144206285477
73,0.038112327456474304,14.781370162963867,0.038112327456474304,0.0873958021402359,33.24232482910156,0.0873958021402359
74,0.037891924381256104,14.783699989318848,0.037891924381256104,0.08784167468547821,33.39781188964844,0.08784167468547821
75,0.03767813742160797,14.794479370117188,0.03767813742160797,0.08816134929656982,33.51959228515625,0.08816134929656982
76,0.03747100010514259,14.79941177368164,0.03747100010514259,0.08808888494968414,33.5380973815918,0.08808888494968414
77,0.03726423531770706,14.776548385620117,0.03726423531770706,0.08761288225650787,33.45120620727539,0.08761288225650787
78,0.03705732151865959,14.728201866149902,0.03705732151865959,0.08690663427114487,33.30451965332031,0.08690663427114487
79,0.03685108572244644,14.672821044921875,0.03685108572244644,0.0860612541437149,33.121795654296875,0.0860612541437149
80,0.036641500890254974,14.61137866973877,0.036641500890254974,0.08515068143606186,32.922149658203125,0.08515068143606186
81,0.0364304855465889,14.549591064453125,0.0364304855465889,0.08424752950668335,32.72438049316406,0.08424752950668335
82,0.03621847927570343,14.487945556640625,0.03621847927570343,0.08340884745121002,32.543975830078125,0.08340884745121002
83,0.03600550442934036,14.429126739501953,0.03600550442934036,0.08267902582883835,32.39331817626953,0.08267902582883835
84,0.03579090163111687,14.384281158447266,0.03579090163111687,0.08208469301462173,32.280128479003906,0.08208469301462173
85,0.03557970002293587,14.354782104492188,0.03557970002293587,0.08146002888679504,32.178497314453125,0.08146002888679504
86,0.03536079078912735,14.329020500183105,0.03536079078912735,0.080690898001194,32.03424072265625,0.080690898001194
87,0.035144954919815063,14.293705940246582,0.035144954919815063,0.07981345057487488,31.856937408447266,0.07981345057487488
88,0.034922532737255096,14.247943878173828,0.034922532737255096,0.07917430996894836,31.74465560913086,0.07917430996894836
89,0.034701742231845856,14.209806442260742,0.034701742231845856,0.07875588536262512,31.693138122558594,0.07875588536262512
90,0.03447591885924339,14.177206039428711,0.03447591885924339,0.07851022481918335,31.689407348632812,0.07851022481918335
91,0.03424916788935661,14.149503707885742,0.03424916788935661,0.0780424252152443,31.621728897094727,0.0780424252152443
92,0.03401970490813255,14.109006881713867,0.03401970490813255,0.07766414433717728,31.579822540283203,0.07766414433717728
93,0.033791545778512955,14.073307037353516,0.033791545778512955,0.07731088995933533,31.54550552368164,0.07731088995933533
94,0.03356092423200607,14.03847885131836,0.03356092423200607,0.07693037390708923,31.504308700561523,0.07693037390708923
95,0.033327870070934296,14.003040313720703,0.033327870070934296,0.0764816403388977,31.445507049560547,0.0764816403388977
96,0.03309831768274307,13.968708038330078,0.03309831768274307,0.07559890300035477,31.263689041137695,0.07559890300035477
97,0.032858509570360184,13.915583610534668,0.032858509570360184,0.07468903809785843,31.074050903320312,0.07468903809785843
98,0.03262229636311531,13.863570213317871,0.03262229636311531,0.07382519543170929,30.897132873535156,0.07382519543170929
99,0.03238417208194733,13.814788818359375,0.03238417208194733,0.0731159970164299,30.764545440673828,0.0731159970164299
100,0.03214282542467117,13.770071029663086,0.03214282542467117,0.07251875102519989,30.664520263671875,0.07251875102519989
101,0.031897906213998795,13.727792739868164,0.031897906213998795,0.0720098614692688,30.590728759765625,0.0720098614692688
102,0.031651124358177185,13.687915802001953,0.031651124358177185,0.07109049707651138,30.39682388305664,0.07109049707651138
103,0.031405847519636154,13.634777069091797,0.031405847519636154,0.07029801607131958,30.24004554748535,0.07029801607131958
104,0.031158341094851494,13.585050582885742,0.031158341094851494,0.06964017450809479,30.123144149780273,0.06964017450809479
105,0.030913623049855232,13.540009498596191,0.030913623049855232,0.06871224194765091,29.925634384155273,0.06871224194765091
106,0.03066014125943184,13.483389854431152,0.03066014125943184,0.06757721304893494,29.664531707763672,0.06757721304893494
107,0.030415264889597893,13.420823097229004,0.030415264889597893,0.06672126054763794,29.485660552978516,0.06672126054763794
108,0.030165351927280426,13.364848136901855,0.030165351927280426,0.06614311784505844,29.389951705932617,0.06614311784505844
109,0.02990861050784588,13.315192222595215,0.02990861050784588,0.06578529626131058,29.361103057861328,0.06578529626131058
110,0.02970404177904129,13.283257484436035,0.02970404177904129,0.06632297486066818,29.563987731933594,0.06632297486066818
111,0.029426561668515205,13.281188011169434,0.029426561668515205,0.06630884110927582,29.606285095214844,0.06630884110927582
112,0.0292190033942461,13.276127815246582,0.0292190033942461,0.06546510010957718,29.432945251464844,0.06546510010957718
113,0.028971873223781586,13.245922088623047,0.028971873223781586,0.06393763422966003,29.07891845703125,0.06393763422966003
114,0.028696421533823013,13.194292068481445,0.028696421533823013,0.06218006834387779,28.64702033996582,0.06218006834387779
115,0.028431419283151627,13.130769729614258,0.028431419283151627,0.06043153256177902,28.206201553344727,0.06043153256177902
116,0.02808174304664135,13.040037155151367,0.02808174304664135,0.058384448289871216,27.65462875366211,0.058384448289871216
117,0.027681441977620125,12.914565086364746,0.027681441977620125,0.05639095976948738,27.097820281982422,0.05639095976948738
118,0.02724456787109375,12.765496253967285,0.02724456787109375,0.05472012236714363,26.62340545654297,0.05472012236714363
119,0.027056803926825523,12.649860382080078,0.027056803926825523,0.05494469776749611,26.73137855529785,0.05494469776749611
