paper,norm_con,norm_vol,norm_dis,norm_feed,OD
3,0.310344827586207,0.875,0.714285714285714,0.119047619047619,0.481001537447837
1,0.206896551724138,1.25,1.42857142857143,0.80952380952381,0.441467164506919
2,0.551724137931034,1,0.785714285714286,0.714285714285714,0.208653634965956
3,0.379310344827586,0.875,0.857142857142857,0.119047619047619,0.795080166922908
4,0.862068965517241,1.25,0.857142857142857,0.428571428571429,0.95321765868658
1,0.344827586206897,0.625,1,0.80952380952381,0.724796837250165
4,1.03448275862069,1.375,0.642857142857143,0.571428571428571,0.89830880737975
3,0.448275862068966,1,0.857142857142857,0.119047619047619,1.1728530639139
1,0.344827586206897,0.625,1.42857142857143,0.80952380952381,0.801669229079728
2,0.827586206896552,1.40625,1,0.285714285714286,0.26575884032506
2,0.862068965517241,1.40625,1.07142857142857,0.285714285714286,0.585767625741269
4,1.03448275862069,1.375,0.642857142857143,0.285714285714286,0.792883812870635
2,0.862068965517241,1.625,0.571428571428571,0.285714285714286,0.566220074676038
2,0.689655172413793,1.25,1.14285714285714,0.380952380952381,0.27564243356029
4,0.645172413793104,1.125,0.857142857142857,0.714285714285714,0.639139029211509
3,0.379310344827586,1,1,0.119047619047619,0.942235888425214
2,0.689655172413793,1.25,1.42857142857143,0.380952380952381,0.247309466285965
2,0.689655172413793,1.25,1.28571428571429,0.380952380952381,0.247309466285965
3,0.448275862068966,0.75,0.857142857142857,0.119047619047619,1.00373380188886
3,0.379310344827586,0.875,0.857142857142857,0.119047619047619,0.847792664177465
1,0.344827586206897,1.25,1.42857142857143,0.80952380952381,0.788491104766088
2,0.689655172413793,0.9375,0.714285714285714,0.476190476190476,0.295189984625522
1,0.275862068965517,1.25,1.21428571428571,0.952380952380953,0.597408302218317
2,0.862068965517241,1.625,0.928571428571429,0.238095238095238,0.63408741489128
2,0.862068965517241,1.625,1.28571428571429,0.476190476190476,0.506698879859433
2,0.758620689655172,0.9375,1.28571428571429,0.714285714285714,0.317153525148254
2,0.706896551724138,1.3125,0.928571428571429,0.142857142857143,0.245991653854601
4,0.862068965517241,1.25,1.28571428571429,0.428571428571429,0.542499450911487
4,1.03448275862069,1.125,0.642857142857143,0.571428571428571,0.931254118163848
4,0.862068965517241,1,0.857142857142857,0.428571428571429,0.566659345486492
2,0.862068965517241,1.175,0.714285714285714,0.285714285714286,0.720623764550846
2,0.551724137931034,1.625,0.571428571428571,0.285714285714286,0.172853063913903
4,0.689655172413793,1.125,0.642857142857143,0.571428571428571,0.527124972545574
3,0.310344827586207,0.875,1,0.119047619047619,0.47001976718647
1,0.344827586206897,1.25,1,0.80952380952381,0.654513507577421
2,0.706896551724138,1.5625,0.928571428571429,0.476190476190476,0.204480562266637
1,0.275862068965517,0.625,1.21428571428571,0.952380952380953,0.568855699538766
3,0.310344827586207,1,0.857142857142857,0.119047619047619,0.441467164506919
3,0.379310344827586,0.875,0.857142857142857,0.119047619047619,0.821436415550187
4,1.20689655172414,1.25,0.857142857142857,0.428571428571429,0.904897869536569
3,0.379310344827586,0.75,1,0.119047619047619,0.788491104766088
4,0.689655172413793,1.375,1.07142857142857,0.571428571428571,0.568855699538766
2,0.862068965517241,1.175,1.07142857142857,0.476190476190476,0.392488469141225
4,0.862068965517241,1.5,0.857142857142857,0.428571428571429,0.929057764111575
1,0.206896551724138,0.9375,1.21428571428571,0.952380952380953,0.426092686141006
4,1.03448275862069,1.125,0.642857142857143,0.285714285714286,0.661102569734241
2,0.706896551724138,1.3125,0.928571428571429,0.666666666666667,0.198989677135954
1,0.206896551724138,1.25,1.42857142857143,1.0952380952381,0.53810674280694
2,0.862068965517241,1.175,1.07142857142857,0.285714285714286,0.411157478585548
1,0.275862068965517,0.9375,1,0.952380952380953,0.650120799472875
4,1.03448275862069,1.125,1.07142857142857,0.285714285714286,0.759938502086536
3,0.379310344827586,0.875,0.857142857142857,0.119047619047619,0.854381726334285
2,0.620689655172414,1,0.571428571428571,0.714285714285714,0.259609048978695
2,0.689655172413793,1.40625,0.714285714285714,0.476190476190476,0.312101910828025
4,0.862068965517241,1.25,0.428571428571429,0.428571428571429,0.5578739292774
4,0.689655172413793,1.375,0.642857142857143,0.285714285714286,0.362398418625082
3,0.379310344827586,1,0.714285714285714,0.119047619047619,0.904897869536569
4,0.862068965517241,1.25,0.857142857142857,0.428571428571429,1.1486931693389
4,1.1048275862069,1.375,0.857142857142857,0.357142857142857,0.832418185811553
4,1.03448275862069,1.375,1.07142857142857,0.571428571428571,0.990555677575225
2,0.862068965517241,1,0.571428571428571,0.476190476190476,0.409180759938502
1,0.275862068965517,0.9375,1.21428571428571,0.952380952380953,0.647924445420602
2,0.758620689655172,1.625,1.28571428571429,0.714285714285714,0.333406545135076
2,0.862068965517241,1.625,0.571428571428571,0.571428571428571,0.488469141225566
4,0.549310344827586,1.125,0.857142857142857,0.714285714285714,0.683066110256973
2,0.689655172413793,1.40625,1.42857142857143,0.095238095238095,0.361959147814628
4,1.1051724137931,1.125,0.857142857142857,0.714285714285714,1.03667911267296
3,0.379310344827586,0.875,0.857142857142857,0.119047619047619,0.836810893916099
1,0.344827586206897,0.625,1,1.0952380952381,0.830221831759279
2,0.706896551724138,1.125,0.928571428571429,0.476190476190476,0.249725455743466
2,0.689655172413793,1.40625,0.714285714285714,0.380952380952381,0.249725455743466
2,0.862068965517241,1.175,1.07142857142857,0.095238095238095,0.619811113551504
2,0.827586206896552,1.175,0.714285714285714,0.238095238095238,0.399956072918954
4,0.862068965517241,1.25,0.857142857142857,0.142857142857143,0.353613002415989
2,0.706896551724138,0.6875,0.928571428571429,0.380952380952381,0.238524050076872
1,0.206896551724138,0.625,1,1.0952380952381,0.47660882934329
4,0.858275862068965,1.25,0.857142857142857,0.428571428571429,0.656709861629695
2,0.706896551724138,1.3125,0.428571428571429,0.428571428571429,0.252580716011421
2,0.689655172413793,1.175,1.07142857142857,0.285714285714286,0.31583571271689
4,1.03448275862069,1.125,1.07142857142857,0.571428571428571,0.841203602020646
4,0.61,1.125,0.857142857142857,0.214285714285714,0.239402591697782
1,0.275862068965517,0.9375,1.42857142857143,0.952380952380953,0.645728091368329
2,0.862068965517241,1.3125,0.571428571428571,0.238095238095238,0.459696903140786
4,1.03448275862069,1.375,1.07142857142857,0.285714285714286,0.68745881836152
2,0.689655172413793,1.40625,1.42857142857143,0.476190476190476,0.40852185372282
4,0.683103448275862,1.25,0.857142857142857,0.357142857142857,0.434878102350099
1,0.275862068965517,0.9375,1.21428571428571,1.0952380952381,0.665495277838788
3,0.448275862068966,0.875,0.714285714285714,0.119047619047619,1.10256973424116
2,0.551724137931034,1,1.28571428571429,0.285714285714286,0.25104326817483
2,0.689655172413793,0.9375,0.714285714285714,0.095238095238095,0.350977377553262
1,0.206896551724138,0.625,1,0.80952380952381,0.384361959147815
4,0.689655172413793,1.375,1.07142857142857,0.285714285714286,0.467823413134197
4,0.862068965517241,1.25,0.857142857142857,0.428571428571429,0.650120799472875
1,0.344827586206897,0.625,1.42857142857143,1.0952380952381,0.909290577641116
4,0.689655172413793,1.125,1.07142857142857,0.571428571428571,0.601801010322864
2,0.724137931034483,1.625,0.571428571428571,0.714285714285714,0.230617175488689
1,0.275862068965517,0.9375,1.21428571428571,0.952380952380953,0.599604656270591
4,0.689655172413793,1.125,0.642857142857143,0.285714285714286,0.428289040193279
4,0.517241379310345,1.25,0.857142857142857,0.428571428571429,0.239402591697782
2,0.655172413793103,1,0.571428571428571,0.238095238095238,0.289040193279157
2,0.689655172413793,1.09375,1.28571428571429,0.095238095238095,0.259169778168241
1,0.206896551724138,1.25,1,0.80952380952381,0.382165605095541
2,0.551724137931034,1,0.857142857142857,0.238095238095238,0.238304414671645
4,0.858275862068965,1.125,0.857142857142857,0.428571428571429,0.656709861629695
1,0.206896551724138,1.25,1,1.0952380952381,0.478805183395563
1,0.344827586206897,1.25,1,1.0952380952381,0.76213485613881
4,0.862068965517241,1.25,0.857142857142857,0.714285714285714,0.777509334504722
4,0.862068965517241,1.25,0.857142857142857,0.428571428571429,0.658906215681968
4,0.862068965517241,1.25,0.857142857142857,0.428571428571429,0.667691631891061
4,0.689655172413793,1.125,1.07142857142857,0.285714285714286,0.294311443004612
3,0.448275862068966,0.875,1,0.119047619047619,1.13331869097298
2,0.862068965517241,1,0.785714285714286,0.714285714285714,0.389413573468043
1,0.206896551724138,0.625,1.42857142857143,0.80952380952381,0.421699978036459
1,0.275862068965517,0.9375,1.21428571428571,0.80952380952381,0.68745881836152
4,0.689655172413793,1.375,0.642857142857143,0.571428571428571,0.69404788051834
1,0.206896551724138,0.625,1.42857142857143,1.0952380952381,0.467823413134197
3,0.379310344827586,0.75,0.714285714285714,0.119047619047619,0.801669229079728
3,0.310344827586207,0.75,0.857142857142857,0.119047619047619,0.516143202284208
1,0.344827586206897,0.9375,1.21428571428571,0.952380952380953,0.909290577641116
2,0.551724137931034,1,0.571428571428571,0.666666666666667,0.251482538985284
4,0.862068965517241,1.25,0.857142857142857,0.428571428571429,0.661102569734241
2,0.551724137931034,1.625,1.28571428571429,0.428571428571429,0.218976499011641
